 Quantity,Reference, Footprint, Vendor part#, Manufacturer part#, Vendor, Value, Datasheet,,,, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
4,R36 R40 R47 R54 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410,1206W4F1001T5,JLCPCB,1K,https://datasheet.lcsc.com/lcsc/1810242121_UNI-ROYAL-Uniroyal-Elec-1206W4F1001T5_C4410.pdf,,,,,,,,,,,,,,
3,R38 R45 R52 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C18012,1206W4F3001T5E,JLCPCB,3K,https://datasheet.lcsc.com/lcsc/1810301427_UNI-ROYAL-Uniroyal-Elec-1206W4F3001T5E_C18012.pdf,,,,,,,,,,,,,,
13,R4 R2 R3 R5 R21 R7 R59 R6 R24 R62 R61 R8 R11 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936,1206W4F4701T5E,JLCPCB,4.7K,https://datasheet.lcsc.com/lcsc/1810301414_UNI-ROYAL-Uniroyal-Elec-1206W4F4701T5E_C17936.pdf,,,,,,,,,,,,,,
3,R42 R49 R56 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17944,1206W4F2001T5E,JLCPCB,2K, https://datasheet.lcsc.com/lcsc/1811091710_UNI-ROYAL-Uniroyal-Elec-1206W4F2001T5E_C17944.pdf,,,,,,,,,,,,,,
1,R63 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17917,1206W4F1500T5E,JLCPCB,150,https://datasheet.lcsc.com/lcsc/1809140241_UNI-ROYAL-Uniroyal-Elec-1206W4F1500T5E_C17917.pdf,,,,,,,,,,,,,,
3,R64 R9 R10 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C25384, 1206W4J0470T5E,JLCPCB,47,https://datasheet.lcsc.com/lcsc/1811101020_UNI-ROYAL-Uniroyal-Elec-1206W4J0470T5E_C25384.pdf,,,,,,,,,,,,,,
1,R65 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17927,1206W4F1004T5E,JLCPCB,1M, https://datasheet.lcsc.com/lcsc/1811050105_UNI-ROYAL-Uniroyal-Elec-1206W4F1004T5E_C17927.pdf,,,,,,,,,,,,,,
1,R66 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17978,1206W4F7501T5E,JLCPCB,7.5K,https://datasheet.lcsc.com/lcsc/1810171732_UNI-ROYAL-Uniroyal-Elec-1206W4F7501T5E_C17978.pdf,,,,,,,,,,,,,,
1,R70 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C25383,1206W4J0471T5E,JLCPCB,470,https://datasheet.lcsc.com/lcsc/1809192114_UNI-ROYAL-Uniroyal-Elec-1206W4J0471T5E_C25383.pdf,,,,,,,,,,,,,,
6,R71 R68 R28 R39 R46 R53 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17903,1206W4F100JT5E,JLCPCB,10,https://datasheet.lcsc.com/lcsc/1810301421_UNI-ROYAL-Uniroyal-Elec-1206W4F100JT5E_C17903.pdf,,,,,,,,,,,,,,
