Reference, Quantity, Value, Footprint, Datasheet, Manufacturer part#, Vendor, Vendor part#, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
JK1 ,1,"Left Joystick","coco2:CUI_SDS-60J","https://www.cuidevices.com/product/resource/digikeypdf/sds-j.pdf","SDS-60J","digikey","CP-2360-ND","","","","","","","","","","",""
JK2 ,1,"Right Joystick","coco2:CUI_SDS-60J","https://www.cuidevices.com/product/resource/digikeypdf/sds-j.pdf","SDS-60J","digikey","CP-2360-ND","","","","","","","","","","",""
JK3 ,1,"RS232","coco2:CUI_SDS-40J","https://www.cuidevices.com/product/resource/digikeypdf/sds-j.pdf","SDS-40J","digikey","CP-2340-ND","","","","","","","","","","",""
JK4 ,1,"Cassette","coco2:CUI_SDS-50J","https://www.cuidevices.com/product/resource/digikeypdf/sds-j.pdf","SDS-50J","digikey","CP-2350-ND","","","","","","","","","","",""
L1 ,1,"1.8uH","Inductor_THT:L_Axial_L9.5mm_D4.0mm_P12.70mm_Horizontal_Fastron_SMCC","http://www.delevan.com/seriesPDFs/1537.pdf","1537-18K","digikey","1134-1090-1-ND","","","","","","","","","","",""
L1001 ,1,"33uH","Inductor_SMD:L_Sumida_CDMC6D28_7.25x6.5mm"," https://datasheet.lcsc.com/lcsc/1912111437_Sunlord-MWSA0605S-330MT_C408470.pdf","MWSA0605S-330MT","LSCSC","C408470","","","","","","","","","","",""
MP1 ,1,"4.7k","Resistor_THT:R_Array_SIP10","https://www.ctscorp.com/wp-content/uploads/2015/11/770.pdf","770101472P","digikey","770-101-R4.7KP-ND","","","","","","","","","","",""
MP2 ,1,"4.7k","Resistor_THT:R_Array_SIP9","https://www.bourns.com/docs/Product-Datasheets/4600H.pdf","4609H-101-472LF","digikey","4609H-101-472LF-ND","","","","","","","","","","",""
Q1001 ,1,"MMBT9014C","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","","","","","C90157","LCSC","MMBT9014C","","","","","",""
Q3 Q2 Q5 Q6 Q7 ,5,"2SC945(NTE85)","Package_TO_SOT_THT:TO-92L_Inline","https://www.nteinc.com/specs/10to99/pdf/nte85.pdf","NTE85","digikey","2368-NTE85-ND","","","","","","","","","","",""
Q4 ,1,"MPSA13(NTE46)","Package_TO_SOT_THT:TO-92L_Inline","https://www.nteinc.com/specs/10to99/pdf/nte46.pdf","NTE46","digikey","2368-NTE46-ND","","","","","","","","","","",""
R1 R1003 R1002 ,3,"100K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"," https://datasheet.lcsc.com/lcsc/1810301421_UNI-ROYAL-Uniroyal-Elec-1206W4F1003T5E_C17900.pdf","1206W4F1003T5E","JLCPCB","C17900","","","","","","","","","","",""
R1006 R1005 R1004 ,3,"5.1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1811060210_UNI-ROYAL-Uniroyal-Elec-1206W4F5101T5E_C26033.pdf","1206W4F5101T5E","JLCPCB","C26033","","","","","","","","","","",""
R1007 ,1,"20M","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301437_UNI-ROYAL-Uniroyal-Elec-1206W4J0206T5E_C26125.pdf","1206W4J0206T5E","JLCPCB","C26125","","","","","","","","","","",""
R12 R1001 R1008 ,3,"10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301434_UNI-ROYAL-Uniroyal-Elec-1206W4F1002T5E_C17902.pdf","1206W4F1002T5E","JLCPCB","C17902","","","","","","","","","","",""
R13 ,1,"100 1W","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301126_UNI-ROYAL-Uniroyal-Elec-25121WF1000T4E_C35218.pdf","25121WF1000T4E","JLCPCB","C35218","","","","","","","","","","",""
R14 ,1,"220 1W","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301127_UNI-ROYAL-Uniroyal-Elec-25121WJ0221T4E_C38808.pdf","25121WJ0221T4E","JLCPCB","C38808","","","","","","","","","","",""
R23 ,1,"82","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301412_UNI-ROYAL-Uniroyal-Elec-1206W4F820JT5E_C17980.pdf","1206W4F820JT5E","JLCPCB","C17980","","","","","","","","","","",""
R27 ,1,"1.5K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301424_UNI-ROYAL-Uniroyal-Elec-1206W4F1501T5E_C26030.pdf","UNI-ROYAL(Uniroyal Elec)","JLCPCB","C26030","","","","","","","","","","",""
R29 ,1,"3.9K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301411_UNI-ROYAL-Uniroyal-Elec-1206W4F3901T5E_C17883.pdf","1206W4F3901T5E","JLCPCB","C17883","","","","","","","","","","",""
R31 ,1,"39K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301435_UNI-ROYAL-Uniroyal-Elec-1206W4F3902T5E_C18008.pdf","1206W4F3902T5E","JLCPCB","C18008","","","","","","","","","","",""
R32 ,1," 20K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301422_UNI-ROYAL-Uniroyal-Elec-1206W4F620KT5E_C25344.pdf","1206W4F620KT5E","JLCPCB","C25344","","","","","","","","","","",""
R34 R30 R69 ,3,"100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301422_UNI-ROYAL-Uniroyal-Elec-1206W4F1000T5E_C17901.pdf","1206W4F1000T5E","JLCPCB","C17901","","","","","","","","","","",""
R35 R33 ,2," 220K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301411_UNI-ROYAL-Uniroyal-Elec-1206W4F2203T5E_C17956.pdf","1206W4F2203T5E","JLCPCB","C17956","","","","","","","","","","",""
R36 R40 R47 R54 ,4,"1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810242121_UNI-ROYAL-Uniroyal-Elec-1206W4F1001T5_C4410.pdf","1206W4F1001T5","JLCPCB","C4410","","","","","","","","","","",""
R38 R45 R52 ,3,"3K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301427_UNI-ROYAL-Uniroyal-Elec-1206W4F3001T5E_C18012.pdf","1206W4F3001T5E","JLCPCB","C18012","","","","","","","","","","",""
R4 R2 R3 R5 R21 R7 R59 R6 R24 R62 R61 R8 R11 ,13,"4.7K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301414_UNI-ROYAL-Uniroyal-Elec-1206W4F4701T5E_C17936.pdf","1206W4F4701T5E","JLCPCB","C17936","","","","","","","","","","",""
